Series Name,Series Code,Country Name,Country Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean,LCN,783500501539.63,894561377247.156,823712965139.119,726721794879.406,764777823849.368,756311375939.058,765776536062.758,821881180249.84,901488916776.514,995446888620.215,1182930524066.3,1190363679873.93,1299294226948.35,1537236482693.87,1795857944908.41,1942625401757.23,2101355129053.54,2303819877048.61,2332209529441.48,2107777544518.75,2326949294888.47,2282568106526.85,2052733951836.01,2091860862682.09,2405428955596.86,2903183974064.52,3397283352571.6,3998720279668.84,4644078687283.98,4357527531809.5,5397420440102.78,6138988197082.15,6210848401059.53,6364361538445.06,6485373197518.46,5420625373878.58,5285772978074.74,5869256493740.25,5743189791995.49
GDP (current US$),NY.GDP.MKTP.CD,Latin America & Caribbean (excluding high income),LAC,652872750831.849,746741303022.229,689044464346.414,595414163255.404,639367345932.01,629409138078.967,638142304414.548,699199148663.327,760016020919.7,863946130401.897,1037523427942.48,1030856096218.64,1119036302732.29,1348226629774.4,1592917766133.52,1697849387521.22,1853066832058.51,2021896195320.09,2038845253732.12,1810330944033.68,2001500299076.34,1951440310331.08,1757086222415.93,1793950754023.56,2043690719202.93,2470508853358.94,2881100869931.19,3401605298745.69,3931414872246.1,3643251864341.3,4556443300721.48,5320453324524.34,5297867570045.92,5436642039991.22,5457302168714.06,4634562623756.21,4496975105252.45,5012882938385.35,4870399736155.19
GDP (current US$),NY.GDP.MKTP.CD,Latin America & the Caribbean (IDA & IBRD countries),TLA,743942402936.634,852606003603.785,780344326387.456,681914372759.207,715753500772.934,707041605884.928,713281984095.21,765811466002.565,840249863768.49,932110197654.23,1114528208752.83,1124521896186.18,1232774425975.08,1466985260185.73,1715286198515.04,1856222698737.15,2016731412170.67,2212232302262.12,2233592462278.06,2002860177034.08,2214459641327.38,2161323029966.51,1927280719037.18,1960487705779.4,2264847326541.43,2751977104544.77,3234901591988.53,3826937668589.79,4465824074658.17,4176800803485.74,5212164267904.79,5941942238761.69,6007685903867.2,6156620349870.71,6273011910093.31,5197174644055.66,5056165834541.36,5634727349358.65,5506624568680.82
GDP (current US$),NY.GDP.MKTP.CD,Least developed countries: UN classification,LDC,134810972705.56,138167836119.132,139980112547.584,138436708801.539,140714472631.233,153712721146.503,133806235730.44,142224187940.213,155884053866.821,167202923941.999,192395342995.943,207656070469.78,164555019141.835,170444481647.758,167403497132.024,171634038631.623,180837332432.292,188826092445.508,191415890114.24,197361211397.511,224233567061.664,216145797376.049,236413655772.296,267725208023.041,307547508572.789,362565585550.717,419650429292.696,503960980772.061,617621032102.854,611892471436.256,691455152776.137,788789635781.671,825499413430.93,899011792639.609,966978332799.04,928550888249.754,944491633292.867,1033695604881.9,1100880284264.85
GDP (current US$),NY.GDP.MKTP.CD,Low & middle income,LMY,2073164248883.44,2318344474367.45,2286646059078,2217405371415.3,2278283895851.47,2367021275066,2417928245850.19,2496518079267.8,2662885366772.37,2854773671384.59,3356800445065.41,3189515731314.77,3343624639286.78,3615987458351.19,4051568372030.25,4628270895721.81,5140547190595.43,5455063067407.64,5428418126009.55,5224983090942.07,5680763266228.64,5689226864512.04,5798280274725.18,6488019627638.12,7609502030648.46,8986082612992.17,10577819186798.1,12986787932963.6,15415247229986.4,15449565116182.9,18785590705939.8,22125397276011.1,23520241947859.2,24956404400115.3,26112983016936.2,25336686257692.4,25597069953897.6,27987406037838.3,29791620278516.9
GDP (current US$),NY.GDP.MKTP.CD,Low income,LIC,87616582561.6462,89890316955.5652,90973456712.5446,88644975377.8909,86806369833.9159,83939638149.3445,88150825151.9559,92853123713.7104,99744432658.8889,107444620042.284,131926909744.352,146615682574.442,102606211658.377,110262486787.712,103189554625.851,95736608113.5563,92511396652.1535,98801581861.7443,99794797965.0142,100712307153.977,123884077543.315,117057870839.898,128765140759.615,143795108872.313,168045991850.84,200687412011.902,233311195478.207,284149435970.22,341905104081.168,340323801916.344,374460066994.609,406242650339.232,384272110891.718,396287809196.231,424194789310.296,417756953873.849,385206512173.903,403454290228.211,420211435774.79
GDP (current US$),NY.GDP.MKTP.CD,Lower middle income,LMC,512442107605.164,636334939388.951,632352323939.17,599195651532.325,575490027378.204,614637221257.432,617440322275.104,672947618644.972,694158073487.812,679846124636.019,739096952809.717,707213632103.499,738102147768.934,746952041507.141,839706013229.15,997456434904.818,1136320651080.95,1192032722943.88,1217725078771.18,1122826614705.03,1185565463800.71,1198116648048.7,1264217335217.99,1434282051769.71,1649983007882.31,1901029039405.27,2226450891169.03,2725016817873.64,3014456913636.93,3143238517619.53,3782636785930.31,4221076552618.26,4460333855933.93,4717344471245.56,5095594685380.32,5089665684079.03,5304010748630.26,5741380409466.09,5994118980886.44
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa,MEA,595839666265.986,610113844973.549,609097022764.158,618856305832.692,623240913077.465,635010632834.086,642573974989.444,596370597900.423,590915602953.794,608696799115.292,794199685774.896,625846069210.135,659767588882.659,612611498496.168,648757954295.854,716061472558.187,796664173285.208,835239873738.879,816819892102.484,888446061820.489,995464425139.515,990205280016.889,982253939378.387,1091930842811.8,1287572186554.3,1545031850497,1815637351836.13,2146341821615.32,2676961094698.88,2404907477076.36,2822236675989.86,3401558785521.88,3662117827580.82,3610787338820.32,3630927628679.66,3202944332228.42,3236195108878.52,3375978495033.31,3608662545371.1
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (excluding high income),MNA,312945318386.068,300352134295.243,336377114321.744,373383813583.952,388806269389.411,420188995645.192,453361285409.69,391260112269.887,373026869184.089,373035096989.218,518825156518.85,332722921589.457,339259351139.119,290355959228.722,307433748179.398,340259302406.652,380849300431.517,400496877681.084,410727251056.215,449128387154.882,474549193839.263,480454322805.497,463162700952.368,507826676342.011,602300019007.892,705653496746.276,827626101907.76,1016107721116.75,1253836434930.42,1218914511082.54,1413492662961.75,1657669127927.36,1782876979918.12,1651618242991.43,1627891415604.2,1461561543238.17,1497802787590.82,1499230386761.12,1490670888640.86
GDP (current US$),NY.GDP.MKTP.CD,Middle East & North Africa (IDA & IBRD countries),TMN,310051044647.298,297574328577.755,333266131696.008,369930574622.874,385210395896.986,416302879113.116,449168375065.79,387641544419.725,369576931422.11,369585083132.41,514026803780.2,329645734753.081,336121712155.741,287670603103.169,304590448179.398,336976502406.652,377439700431.517,396737077681.085,406659451056.215,444857187154.882,470235593839.263,476450622805.497,459606900952.368,503858676342.011,597696919007.892,700527796746.276,822277801907.76,1010292021116.75,1246526034930.42,1210828811082.54,1403811162961.75,1646483027927.36,1770668579918.12,1638102742991.43,1613901715604.2,1447589143238.17,1482397387590.82,1483102386761.12,1474394288640.86
